route_id,agency_id,route_short_name,route_long_name,route_desc,route_type,route_url,route_color,route_text_color
642,,642,WC West Campus/UT,,3,http://www.capmetro.org/schedulemap-ut.aspx?f1=642,FF6600,000000
651,,651,CLC Camino La Costa,,3,http://www.capmetro.org/schedulemap-ut.aspx?f1=651,FF6600,000000
652,,652,PRC Pickle Research Campus/UT,,3,http://www.capmetro.org/schedulemap-ut.aspx?f1=652,FF6600,000000
653,,653,RR Red River/UT,,3,http://www.capmetro.org/schedulemap-ut.aspx?f1=653,FF6600,000000
656,,656,IF Intramural Fields/UT,,3,http://www.capmetro.org/schedulemap-ut.aspx?f1=656,FF6600,000000
661,,661,FW Far West/UT,,3,http://www.capmetro.org/schedulemap-ut.aspx?f1=661,FF6600,000000
663,,663,LA Lake Austin/UT,,3,http://www.capmetro.org/schedulemap-ut.aspx?f1=663,FF6600,000000
670,,670,CP Crossing Place,,3,http://www.capmetro.org/schedulemap-ut.aspx?f1=670,FF6600,000000
671,,671,NR North Riverside,,3,http://www.capmetro.org/schedulemap-ut.aspx?f1=671,FF6600,000000
672,,672,LS Lakeshore,,3,http://www.capmetro.org/schedulemap-ut.aspx?f1=672,FF6600,000000
680,,680,NR/LS North Riverside/Lakeshore,,3,http://www.capmetro.org/schedulemap-ut.aspx?f1=680,FF6600,000000
681,,681,IF/FW Intramural/Far West,,3,http://www.capmetro.org/schedulemap-ut.aspx?f1=681,FF6600,000000
801,,801,N Lamar S Congress,,3,http://www.capmetro.org/schedulemap-ut.aspx?f1=801,FFFF00,000000
935,,935,Tech Ridge Express,,3,http://www.capmetro.org/schedulemap.aspx?f1=935,FF0000,000000
970,,970,AMD/Lantana Campus,,3,http://www.capmetro.org/schedulemap.aspx?f1=970,FF0000,000000
982,,982,Pavilion Express,,3,http://www.capmetro.org/schedulemap.aspx?f1=982,FF0000,000000
983,,983,N US183 Express,,3,http://www.capmetro.org/schedulemap.aspx?f1=983,FF0000,000000
985,,985,Leander/Lakeline Direct,,3,http://www.capmetro.org/schedulemap.aspx?f1=985,FF0000,000000
987,,987,Leander/NW Express,,3,http://www.capmetro.org/schedulemap.aspx?f1=987,FF0000,000000
990,,990,Manor/Elgin Express,,3,http://www.capmetro.org/schedulemap.aspx?f1=990,FF0000,000000
